	book	sentence_length	sentence	sentence_index
2404	Yoga Babies	5	“Now deep breath and relax.”	14
10707	Squash the Spider	4	o “Yuk!” screamed Billy.	6
2609	One Starry Night	52	Then the one little, two little, three little, four little, five little, six little, seven little, eight little, nine little, ten little sheep... ... ran and skipped and gambolled and wriggled and jiggled and jumped and hurried and scurried and scampered and frolicked - all the way down the hill to Bethlehem.	48
311	Peace at Last	9	Mr Bear got into bed and closed his eyes.	44
10090	Elmer and Rose	6	“She blushes very easily,” whispered Eldo.	27
8297	Lenny Makes A Wish	11	But suddenly she starts to gasp and flip and flap about!	13
13018	Elephant Learns to Share	3	Elephant was pleased.	73
6075	All About Feelings	24	But when you have a feeling that you don t like, you can CHOOSE how you show it and what to do with it.	228
2485	Elmer and Wilbur	8	"“What does Wilbur look like?"" asked an elephant."	4
7247	The Book With No Pictures	2	A song?	32
4220	The Rhyming Rabbit	10	Round the next corner, the Rhyming Rabbit met a mole.	42
5058	Wake Up, Sleeping Beauty	4	For For her birthday.	6
2286	The Cross Rabbit	2	Percy looked.	51
2119	The Owl Who Was Afraid Of The Dark	8	“I still do not like it AT ALL!	16
13172	The Squirrels Who Squabbled	17	Though he’d gathered a mountain of bounty, hard-fought, Bruce was convinced he was ONE PINE CONE SHORT.	24
3441	Zog	3	She’s m ine!”	70
3576	Monkey Needs to Listen	8	He said it was important to listen carefully.	26
7075	How to Catch a Star	10	But it was much too heavy for him to carry.	18
4352	Why Am I An Insect	11	Thorax A dragonfly’s thorax is in the middle of its body.	20
7375	Careful Santa!	6	“Careful, Santa!” called Santa’s little mouse.	18
9944	Superworm	5	Hip, hip, hooray for SUPERWORM!”	80
8121	Kipper's A to Z	14	U u umbrella is for Under the ‘V is very, very hard,’ said Kipper.	73
2777	An Alphabet Of Stories	18	The King The King of France Went out fo r a dance And forgot to bring along keys.	54
7971	Zog and the Flying Doctors	5	“I’m sunburnt and it hurts!”	5
1488	The Enormous Crocodile	25	There were white horses and lions and tigers and mermaids w ith fishes’ tails and fearsome dragons with red tongues sticking out of their mouths.	221
7284	The First Christmas	7	“Do not be afraid,” said the angel.	2
6174	The Lighthouse Keeper's Lunch	8	Mrs Grinling had prepared a particularly appetising lunch.	10
8908	How The Grinch Stole Christmas	1	Drums!	89
12479	The Singing Mermaid	2	Wakey, Wakey!	42
8343	The Christmas Story	6	“Do not be afraid,” he said.	19
7881	The Runaway Pea	8	“I’ve changed, my mind,” said the runaway pea.	38
3461	Zog	3	“An excellent career!”	90
2865	The Owl's Lesson	2	“Good morning!”	21
4397	Why Am I An Insect	18	A flower that looks yellow to us may look blue to a butterfly Flying Dragonflies are excellent fliers.	65
8798	Santa to the Rescue	1	C	48
12436	Where's My Teddy	36	Then they ran and they ran through the dark wood back to their homes as quick as they could… all the way back to their snuggly beds, where they huddled and cuddled their own little teds.	26
13677	Jack and the Beanstalk	7	“Quick,” said the goose, “it’s the giant!	51
1385	The Enormous Crocodile	15	The Enormous Crocodile laughed so much his teeth rattled together like pennies in a moneybox.	118
13632	Jack and the Beanstalk	5	His mother waved them goodbye.	6
10050	Mini Beasties	10	I was counting worms all the way down the road.	105
8420	Knock Knock Alien	1	TOOT!	71
13209	The Squirrels Who Squabbled	9	They were paying the price for wanting it all.	61
4720	Ruby's Worry	4	Ruby was perfectly happy.	3
487	The Troll	2	“I know!”	90
7807	Ravi's Roar	9	When everyone got to the park, they played hide-and-seek.	10
6505	All Year Round	13	They go south in the autumn and back north again in the spring.	192
9972	Mini Beasties	14	Roger Goffe The Tickle Rhyme “Who’s that tickling m y back?” said the wall.	27
608	There's A Monster In Your Book	12	Tilt the book to the left… Now he’s over here, but he’s...	12
7615	The Jolly Postman or Other People's Letters	1	ct	79
14096	Monkey Puzzle	7	And anyway, she’s not nearly so small!”	63
5228	Mole Hill	8	For on Mole Hill stood three huge trucks!	6
10443	Born to be a Butterfly	10	She bites through the shell with her strong, sharp jaws.	10
2662	I Need A Wee	17	But when Alan turned around he realised he was dancing furiously in front of a huge audience!	45
476	The Troll	12	Then it stopped being a river and it flowed into the sea.	79
6883	Giraffe is Left Out	4	"""Playing together is fun."""	91
8255	The Three Little Pigs	6	They were very out of breath.	54
13486	Jack Breaks The Beanstalk	3	“NO,” lied Jack.	29
1944	Harry and the Dinosaurs at the Museum	4	“We want the Romans.	24
13178	The Squirrels Who Squabbled	3	IT CAME LOOSE!	30
2910	The Owl's Lesson	16	Away from the thorns, up into the air and perched at the top of the tree.	66
11194	Bottoms Up!	9	Do wombats think, “Ooh, I must cover my willy”?	22
3487	Lost in Snow	2	Sheba cried.	20
7530	Owl Babies	4	their Owl Mother asked.	33
8480	Boogie Bear	6	Surely things couldn’t get any worse.	35
3282	Elmer and the Stranger	2	“Elmer knows.”	18
5932	All About Feelings	9	“I’m feeling calm and happy because I love drawing.”	85
169	The Gruffalo	3	“Why, Owl, hello!”	79
11841	Princess Mirror-Belle And The Dragon Pox	5	“What is the magic spell?”	85
8107	Kipper's A to Z	1	quack	59
3193	The Rescue Party	6	The ground has eaten our sister!”	24
10708	Squash the Spider	4	“Mum, SQUASH the SPIDER!”	7
8327	The Christmas Story	13	Suddenly, a dazzling light shone out from the windows of a little house.	3
1599	Harry and the Dinosaurs Go Wild	12	Trouble was, it was hard to know which animal to save first.	27
11961	We're Going on a Bear Hunt	2	Oh no!	67
7930	Goldilocks and the Three Bears	2	"""Just right."""	35
5350	Ten in the Bed and Other Counting Rhymes	9	Hickory, dickory, dock, The mouse ran up the clock.	63
1935	Harry and the Dinosaurs at the Museum	6	They lit fires and did hunting.	15
8051	Kipper's A to Z	2	And Arnold.	3
13805	The Christmas Extravaganza Hotel	9	“My brochure has a BIG one - that sings!	58
3773	Dogger	7	He was wearing a ticket saying “5p”.	75
3323	Elmer and the Stranger	4	“Fantastic jump” said Tiger.	59
3146	Cave Baby	5	A cave in the hillside!	35
13876	The Christmas Extravaganza Hotel	10	They each took an end of the ribbon and pulled.	129
5610	Dragon Post	6	We spent a final day together.	102
4359	Why Am I An Insect	5	Instead, it has an exoskeleton.	27
3526	Lost in Snow	13	He’d have so much to tell Sam and Sheba when he reached home!	59
13091	One Snowy Night	2	Then, bump!	64
8488	Boogie Bear	5	“What’s a BOOGIE MONSTER?” ”	43
12321	We're Going On A Lion Hunt	4	One big shaggy mane!	49
14145	Little Monkey	4	“Now it’s my turn.”	26
7722	What The Ladybird Heard	7	But the ladybird never said a word.	53
5391	Ten in the Bed and Other Counting Rhymes	12	Hungry one day, She bought a cream bun And took it away.	104
12465	The Singing Mermaid	12	Sticker Jigsaw Sam promised the mermaid she’d sleep on a feather bed.	28
1723	The Most Wonderful Gift In The World	6	The path was VERY treacherous indeed!	21
10044	Mini Beasties	25	The fly, the fig, in the wink of an eye, can taste with his feet if the syrup is sweet or the bacon is salty.	99
7666	The Jolly Postman or Other People's Letters	12	To Goldilocks with love from Mrs Banting and Baby xx xx xx	130
1688	Open Very Carefully, A Book With Bite!	10	I think he’s going to make a run for it!	40
1740	The Most Wonderful Gift In The World	26	When the snow reached Esme’s knees, Bear scooped her high up onto his shoulders and carried her, just like that, for the rest of the way.	38
12716	Captain Duck	1	.THROW!	32
7885	The Runaway Pea	4	The little pea trembled.	42
5117	No-Bot	16	Bernard went back to the park to look , but he couldn't see his bottom anywhere.	8
8183	Little Red Riding Hood	1	"""Dee-lielous!”"	44
7095	The Very Busy Spider	5	“Neigh! Neigh!” said the horse.	3
8498	Boogie Bear	20	Ahead of her was the tallest tree in the forest, so she clambered all the way up to the top.	53
7251	The Book With No Pictures	4	This book is ridiculous!	36
4168	Sharing A Shell	5	A shell, a beautiful shell.	55
9057	The Bad-Tempered Ladybird	13	"""Oh, you’re not big enough,” said the bad- tempered ladybird and flew off."	63
8832	How The Grinch Stole Christmas	3	"It's practically here!"""	13
12562	What The Ladybird Heard Next	3	What a racket!	70
6856	Giraffe is Left Out	14	Giraffe was very excited He was glad that Leopard had not left him out.	64
10158	The Smartest Giant in Town	6	“It blew away in a storm.	22
6345	All Year Round	6	Glue the sketches into your diary.	32
3946	Doug The Bug That Went Boing	1	whey!	36
10092	Elmer and Rose	9	Rose said, “Pleased to meet you,” and blushed again.	29
8976	How The Grinch Stole Christmas	6	T stopped Christmas from com ing!	157
13413	Who Will Save Us	13	This coat keeps The Great Ball not too hot, and not too cold.”	81
10663	Barry the Fish With Fingers and the Hairy Scary Monster	7	One by one, Barry found his friends.	16
4115	Sharing A Shell	3	Tap, tap, tap!	2
4170	Sharing A Shell	1	Listen!	57
1482	The Enormous Crocodile	15	"""I shall have to eat at least four children now before I am full up!”"	215
2525	Elmer and Wilbur	13	“If you don’t come,” said Elmer, “we’ll have to go home without you.	44
13087	One Snowy Night	3	Poor old Percy.	60
4691	The Snail and the Whale	3	Off the sand!	29
14041	Monkey Puzzle	5	Then I've seen your mum.	8
13309	Knock Knock Pirate	7	The pirate crew A[_L grin at me.	83
8581	Tiger Has a Tantrum	10	He got cross if Little Lion got in his way.	3
218	The Monstrous Tale of Celery Crumble	11	Then you’ll be sorry for all the naughty things you’ve done!”	28
11712	Where's My Cuddle	8	“That’s no way to ask,” said the dragon.	27
10668	Barry the Fish With Fingers and the Hairy Scary Monster	18	Deep inside the wreck, it was dark and scary “I hope they find me soon!” said Puffy “Eeek!	21
12803	The Little Bully	5	He liked Fred’s bear shirt.	41
12741	Captain Duck	14	And then at dawn, through bleary eyes, upon the tide, his boat he spies.	57
8500	Boogie Bear	12	It is impossible to clamber all the way up to the bottom.	55
3886	Wide-awake Hedgehog	8	Isaac was NOT too small for this game.	45
3375	Zog	11	All the dragons in Year One were learning how to fly.	4
6695	Lost and Found	12	Draw what you think he is reading about on the book cover.	27
11898	We're Going on a Bear Hunt	4	What a beautiful day!	4
6281	Dogs Don't Do Ballet	7	No, somebody thinks it is just beginning.	51
4351	Why Am I An Insect	14	Head On its head a dragonfly has a mouth, two antennae, and two eyes.	19
3955	Doug The Bug That Went Boing	4	And. then - PLOP!	45
5344	Ten in the Bed and Other Counting Rhymes	6	Two jelly fish, two jelly fish...	57
7501	Owl Babies	4	“Where’s Mummy?” asked Sarah.	4
7801	Ravi's Roar	6	But sometimes, just sometimes, it wasn’t.	4
14118	Monkey Puzzle	1	“Mum!”	85
12768	The Little Bully	12	Well, nobody except Fred could see the tiniest stain on Billy’s shirt.	6
11460	Can't You Sleep Little Bear	5	And Little, Bear looked .	74
11060	After the Storm	20	Suddenly Percy and his friends fou nd themselves drifting downstream to where the stream opened out into a la ke.	57
7672	What The Ladybird Heard	9	“Hiss” said the goose and “Quack!” said the duck.	3
4447	Why Am I An Insect	6	But not all insects lay eggs.	115
2753	An Alphabet Of Stories	12	He’ll guard anything he is given, provided he is asked nicely enough.	30
2085	Jasper's Jungle Journey	11	On the bank of a reedy river, what did he see?	9
11806	Princess Mirror-Belle And The Dragon Pox	13	“But isn’t the bath water a bit hot for the fish?” asked Ellen.	50
9985	Mini Beasties	3	Don’t run away.	40
4040	Tyrannosaurus Drip	19	And the duckbills came to greet him by the rushy river’s edge And they hooted, “Nice to see you!”	48
4562	Sir Charlie Stinky Socks and the Really Big Adventure	8	Well, nobody knew, because nobody ever went there.	4
8743	The Teeny Weeny Tadpole	17	Tadpole leapt high into the air - higher than Lamb, higher than Rabbit and higher than Grasshopper.	70
13892	Cinder the Bubble-Blowing Dragon	7	“What sort of dragon are you, anyway?”	4
2201	The Owl Who Was Afraid Of The Dark	9	He wasn’t going to hang about waiting for them.	98
6557	All Year Round	2	Countryside Chlorophyll	244
3559	Monkey Needs to Listen	6	Everyone sat still and listened carefully.	9
13348	Who Will Save Us	9	"Many happy hours are spent taking each others' stones."""	16
7278	The Book With No Pictures	1	Please?	63
286	Peace at Last	1	CUCKOO!	19
11156	Cinderella's Ballet Shoes	11	“I want you to have a pair of these,” said Beauty.	55
290	Peace at Last	4	DRIP, DRIP . .	23
12296	We're Going On A Lion Hunt	5	Have to go through it.	24
1623	Harry and the Dinosaurs Go Wild	12	Maybe you had to be big before you could be any use.	51
12963	Elephant Learns to Share	17	Miss Bird said Elephant could not stay in the library corner if he did not share nicely.	18
8459	Boogie Bear	4	“Oh dear, oh dear,	14
5493	Ten in the Bed and Other Counting Rhymes	14	How do you do, How do you do, And how do you do again?	206
2664	I Need A Wee	2	They cheered..	47
3851	Wide-awake Hedgehog	12	“No time for play, we are off, off, off,” chirped the swallows.	10
8537	Boogie Bear	9	A twong is like a twang but more twongy.	92
12636	The Pirates Next Door	5	Hammering all day and night.	63
5771	Scruffy Bear and the Six White Mice	6	Are there any mice around here?”	60
1889	Tabby McTat	18	And he simply loved singing along: “Me, you and the old guitar, How perfectly, perfectly happy we are.	39
8545	Boogie Bear	12	“Oh dear oh dear!” said the polar bear as she stood up.	100
10480	Born to be a Butterfly	9	Now it is time to look for a mate.	47
9612	Father Christmas Needs A Wee	7	At number 7 milk, SEVEN, pure heaven!	7
10560	All For One	5	"""This is ridiculous” she said."	73
7047	Lion's in a Flap	7	He told Monkey and Hippo his worries.	78
9875	Superworm	6	The bees are feeling bored today.	11
12065	The Ugly Duckling	13	The ugly duckling flew down and landed near them on the shimmering water.	44
11334	Who Will Sing My Puff-a-bye	7	“Or cook me lava pancakes for breakfast?	4
6348	All Year Round	10	Draw pictures and write notes about interesting things you see.	35
6027	All About Feelings	1	CRASH!	180
10615	Knock Knock Dinosaur	2	"""That's it!"""	37
7272	The Book With No Pictures	7	eeeeeeeeeeeeeeeeeeeeeeeeeeeee eeeeeeeeeeeeeeeeeeeeeeeeeeeeee eeeeeeeeeeeeeeeeeeeeeeeeeeeeee eeeeeeeeeeeeeeeeeeeeeeeeeeeeee eeeeeeeeeeeeeeeeeeeeeeeee BA-DOOOOONGY FACE!!!	57
6866	Giraffe is Left Out	4	He was very pleased.	74
10187	The Smartest Giant in Town	7	It made a very fine sleeping bag.	51
10296	Wiggling Worms At Work	10	They twist and turn, eating almost anything in their way.	1
12012	We're Going on a Bear Hunt	6	We forgot to shut the door.	118
12821	All In One Piece	4	“No,” said Mrs Large.	5
7921	Goldilocks and the Three Bears	4	"she said- ""Just right!"""	26
4395	Why Am I An Insect	11	A dragonfly’s short antennae are in front of its compound eyes.	63
12209	Harry and the Bucketful of Dinosaurs	15	Yes we have found some dinosaurs, but how do we know they are your dinosaurs?”	48
327	Sing A Song Of Bottoms	7	Mice have teeny ones, titchy-witchy weeny ones.	6
5271	Mole Hill	4	“We’re out of here!	49
6676	Lost and Found	3	Or something else?	8
4949	It's Christmas	3	"""Yay!"" cheered Archie."	28
6149	All About Feelings	2	this game.”	302
5635	A Letter to Santa	16	I must be quiet as I tiptoe in, to see where our Christmas toys all begin.	18
8777	Santa to the Rescue	9	“First we’ll need gifts,” said Santa, fetching their letters.	27
7724	Charlie Cook's Favourite Book	23	About a leaky pirate ship which very nearly sank And a pirate chief who got the blame and had to walk the plank.	1
7453	Norman The Slug With The Silly Shell	7	Norman the slug thought snails were great.	0
3120	Cave Baby	4	Stripes on the hare.	9
884	Kipper's Toybox	5	Then a little tail appeared.	46
5385	Ten in the Bed and Other Counting Rhymes	12	Hungry one day, She bought a cream bun And took it away.	98
8137	Kipper's A to Z	18	So the zebra stood in the middle of the page, and we all said, Zz is for Zebra!	89
12577	The Pirates Next Door	14	She hoped a family would move in with a girl her age or maybe...	4
10022	Mini Beasties	12	The Red Gown The red gown we see is like a butterfly.	77
10547	All For One	15	"T X ""What's the matter, love?"" asked Marlon's mum as he mooched into the kitchen."	60
7855	The Runaway Pea	13	The runaway pea jumped amazingly high and so nearly landed in Boris's eye!	12
14107	Monkey Puzzle	3	“I didn’t know.	74
13845	The Christmas Extravaganza Hotel	2	Frog blinked.	98
7300	The First Christmas	5	Mary rode on a donkey.	18
6805	Giraffe is Left Out	7	He did not like being left out.	13
10003	Mini Beasties	8	We’re in a right mess, me and you.	58
9201	Gruff the Grump	6	He was feeling a bit funny.	33
4189	The Rhyming Rabbit	11	So hungrily, you cunning beast, You stalk your tasty rabbit feast.	11
10743	Squash the Spider	1	“Yuk!	42
8813	Santa to the Rescue	8	“How kind you all are,” said Mrs Bear.	63
13898	Cinder the Bubble-Blowing Dragon	13	Coming from a famous dragon family, great things had been expected of him.	10
9199	Gruff the Grump	7	Will you look after it for me?”	31
1022	The Hungry Caterpillar	42	On Saturday he ate throu gh one piece of chocolate cake, one ice-cream cone, one pickle, one slice of Swiss cheese, one slice of salami, one lollipop, one piece of ch erry pie, one sausage, one cupcake, and one slice of watermelon.	9
11612	Harry and the Robots	12	The robot said, “I - will - blast - your - cough.	42
11188	Bottoms Up!	4	And what about skunks?	16
12040	The Ugly Duckling	13	An old cat came prowling along, “Miaow, what sort of bird are you?”	19
4965	It's Christmas	13	By Christmas morning everything felt perfectly Christmassy — there was even REAL snow!	44
6844	Giraffe is Left Out	5	But they helped each other.	52
6084	All About Feelings	21	You feel upset because your friend has a new hamster and you aren't Scream and Read a book allowed a pet.	237
6994	Lion's in a Flap	18	That would be terrible Lion got in such a flap that he knocked paint all over Hippo's picture.	25
11408	Can't You Sleep Little Bear	9	“Why are you scared, Little Bear?” asked Big Bear.	22
8256	The Three Little Pigs	15	They had just started to speak when there came a loud knock on the door.	55
8715	The Teeny Weeny Tadpole	7	Boing! went Rabbit, high into the air.	42
8543	Boogie Bear	1	Splat!	98
9703	Eleanor Won't Share	18	"After class, Miss Smith whispered to Eleanor, “It's always good to share, even when you don’t want to."""	55
10116	Elmer and Rose	9	“Come and visit us sometime,” Elmer called after her.	53
13747	The Christmas Extravaganza Hotel	15	Far from the busy bustle of town, Bear was ready for a nice, simple Christmas.	0
6879	Giraffe is Left Out	14	Giraffe, Monkey, Little Lion and Leopard liked the really silly race best of all.	87
11268	Supertato	3	Then keep reading.	2
2582	One Starry Night	11	Another little sheep came over the hill, tripping over a rock.	21
8145	Little Red Riding Hood	7	"""But remember the Rules of the Woods!”"	6
12953	Elephant Learns to Share	5	Monkey thought he was mean.	8
3024	The Fox's Hiccups	4	But where was Percy?	21
836	The Princess and the Wizard	11	The King and Queen and all the party guests hugged her.	98
10537	All For One	6	Marlon raced back to the others.	50
10667	Barry the Fish With Fingers and the Hairy Scary Monster	4	But where was Puffy?	20
4128	Sharing A Shell	1	Look!	15
6693	Lost and Found	3	Or an atlas?	25
4514	The Same But Different Too	3	So do you.	3
1697	Open Very Carefully, A Book With Bite!	5	And he is nearly out?	49
2145	The Owl Who Was Afraid Of The Dark	7	“Do you like the dark?” asked Plop.	42
10847	Stick Man	8	“A stick!” barks the dgs “An excellent stick!	3
1617	Harry and the Dinosaurs Go Wild	9	He asked Harry if he could draw them bigger.	45
5459	Ten in the Bed and Other Counting Rhymes	2	he goes.	172
2769	An Alphabet Of Stories	7	You can make stuff out of it.	46
7201	The Detective Dog	11	Till they cam e to a building with doors open wide.	66
13130	One Snowy Night	5	Nobody wanted to come out.	103
9205	Gruff the Grump	5	“OKAY, OKAY, I’LL TAKE IT!”	37
3447	Zog	11	Then Princess Pearl stepped forward, crying, “STOP, you sil ly chumps!	76
2456	The Way Home For Wolf	14	she sung before dipping her brow, “My friend WALRUS will help you out now.”	39
1598	Harry and the Dinosaurs Go Wild	8	He got out his drawing stuff straight away.	26
9063	The Bad-Tempered Ladybird	8	At three o’clock it ran into a rhinoceros.	69
12857	All In One Piece	5	The baby began to cry.	41
14	The Night Before Christmas	2	Dash away!	14
6526	All Year Round	6	sp s t ah ire .i	213
3070	You Choose	1	Goodnight!	15
8364	Knock Knock Alien	2	I gasp.	15
8473	Boogie Bear	12	The only thing more rustley would be someone called Russell Russell watching.	28
13879	The Christmas Extravaganza Hotel	12	On Christmas morning, there was a beautifully wrapped present by the fire.	132
5998	All About Feelings	3	you are ILL.	151
5912	All About Feelings	4	I am feeling HAPPY!	65
12818	All In One Piece	7	“Of course I won’t,” said Mrs Large.	2
3745	Dogger	10	Dave kept waking up in the night and missing him.	47
6440	All Year Round	16	A hummingbird hovers in front of a flower while it sucks nectar with its long tongue.	127
9440	Caterpillar Butterfly	5	"""Couldn't we cover them up?"""	55
13021	Elephant Learns to Share	3	It looked delicious.	76
10471	Born to be a Butterfly	4	What can it be?	38
8514	Boogie Bear	9	“Well, I think your fur is a funny colour!”	69
13881	The Christmas Extravaganza Hotel	1	“Look!	134
11892	Princess Mirror-Belle And The Dragon Pox	8	She knew that it wasn’t really her slipper.	136
4717	Ruby's Worry	4	Ruby loved being Ruby.	0
7092	The Very Busy Spider	11	Early one morning, the wind blew a spider across the field.	0
3989	Doug The Bug That Went Boing	12	And they were so busy arguing, they didn’t hear a familiar sound.	79
3514	Lost in Snow	1	Swoosh!	47
13785	The Christmas Extravaganza Hotel	5	Frog won’t find that here!”	38
732	Mind Your Manners	8	So be good to each other, and share.	39
10993	When Granny Saved Christmas	3	“Wow!” they gasped.	57
12926	The Gruffalo's Child	6	The Gruffalo’s Child unclenched her fist.	61
5304	Ten in the Bed and Other Counting Rhymes	16	When Goldilocks ran from the house of the bears Oh, what did her blue eyes see?	17
14125	Little Monkey	6	And the problem was being little.	6
8166	Little Red Riding Hood	12	Th The wolf raced to the cottage and knocked on the door.	27
2039	The Hedgehog's Balloon	17	The trouble was that he could never have them because they would always burst on his spines.	26
4436	Why Am I An Insect	10	Male and female dragonflies mate when the weather is warm.	104
7748	Charlie Cook's Favourite Book	6	The child is sadly quite contrary.	25
8812	Santa to the Rescue	12	They waved and cheered as Santa flew off into the snowy night.	62
4764	The Smeds and The Smoos	5	They jump about like kangaroos.	5
5284	Mole Hill	6	So we could live another day.”	62
6399	All Year Round	24	When a frog croaks, a pouch of skin under its chin fills with air and helps the croaking sound to carry over a distance.	86
13457	Jack Breaks The Beanstalk	10	Once upon a time… ..there was a misty blue mountain.	0
4640	Sir Charlie Stinky Socks and the Really Big Adventure	12	"""Sir Charlie Stinky Socks is here to save you from the pot."""	82
4489	Why Am I An Insect	13	During this time, it feeds on insects and its full adult colour develops.	157
7716	What The Ladybird Heard	5	and the hen said, “cluck!”	47
5079	Wake Up, Sleeping Beauty	8	But they were busy with their own chores.	27
5046	She Rex	7	Admit it, I'm the expert. . .	69
5264	Mole Hill	13	“These creatures,” said the clever Mole, “once tried to build upon my hole.	42
10747	Squash the Spider	2	“Tee hee!”	46
11634	Harry and the Robots	5	That afternoon a parcel arrived.	64
13976	The Animal Boogie	2	A SNAKE!	40
357	Sing A Song Of Bottoms	5	First prize goes to you!	36
8518	Boogie Bear	12	Tm scared of heights,” replied the one with the biggest, wettest nose.	73
13327	Knock Knock Pirate	3	“That sounds nice.	101
12901	The Gruffalo's Child	4	His tail was short.	36
101	The Gruffalo	11	Here, by these rocks, And his favourite food is roasted fox.”	11
3469	Lost in Snow	8	“What’s all this white stuff, Mum? he squeaked.	2
2117	The Owl Who Was Afraid Of The Dark	9	“Well?” said Mrs Barn Owl when Plop arrived back.	14
1962	Harry and the Dinosaurs at the Museum	9	“Come on, let’s get something to eat,” she said.	42
5165	The Bumblebear	5	“Oooooh!” said the little bees.	10
7144	The Detective Dog	15	With a wag of he r tail, Nell the Detective was hot on the trail.	9
4600	Sir Charlie Stinky Socks and the Really Big Adventure	23	It was thirsty work for a bold, brave knight; how glad he was to have a big bottle of water by his side.	42
9572	Elmer and the Wind	10	I’ll walk to those trees and back to prove it.”	44
13322	Knock Knock Pirate	8	"“I’m all right now YOU’RE here,"" I say."	96
5538	Dragon Post	10	But I knew just who to ask about dragon food!	30
13069	One Snowy Night	7	“Now there’s someone else at the door!”	42
8313	Lenny Makes A Wish	15	But then there comes a night SO clear – the stars are bright as gems!	29
7625	The Jolly Postman or Other People's Letters	10	u t e k e e s s id .	89
7671	What The Ladybird Heard	5	and the hen said, “cluck!”	2
3465	Zog	6	“What a good idea!” said Zog.	94
10110	Elmer and Rose	5	Suddenly Rose said excitedly, “Listen!	47
8074	Kipper's A to Z	4	Jj is for juice.	26
2954	The Dinosaur Department Store	6	Eliza Jane was an unusual child.	0
5514	Dragon Post	6	Finally, I got a letter back.	6
9132	Harry and the Dinosaurs go to School	1	“Raaaaaaaaaah!”	36
708	Mind Your Manners	8	You don't have to barge past SO rudely.	15
12437	The Singing Mermaid	4	Deep Blue Bay Scene	0
2334	Shark In The Dark	7	Could it be a GREAT WHITE SHARK?	32
3288	Elmer and the Stranger	9	With huge bounces, into the clearing came a kangaroo.	24
8215	The Three Little Pigs	5	“NO,” said the little pig.	14
3098	Whatever Next!	10	It rained and the rain dripped through Baby Bear’s helmet.	27
7021	Lion's in a Flap	15	There were no clouds in the sky and it hadn't rained for weeks and weeks.	52
2471	The Way Home For Wolf	18	Who showed Wilf the rest of the way, to the place where this wolfling most wanted to stay.	54
1611	Harry and the Dinosaurs Go Wild	6	She helped put the words on.	39
10252	Supertato Veggies Assemble	6	Was this the end for Supertato?	24
7346	The First Christmas	6	Joseph led them into the stable.	64
4684	The Snail and the Whale	34	This is the sky So vast and high, Sometimes sunny and blue and warm, Sometimes filled with a thunderstorm, With zigzag lightning Flashing and frightening The tiny snail On the tail of the whale.	22
6025	All About Feelings	1	THUMP!	178
12530	What The Ladybird Heard Next	14	"The goose replied, ""I thought you knew: She lays the biggest eggs of all."	38
795	The Princess and the Wizard	15	On Saturday she turned herself into a black cat and lurked in a black tunnel.	57
11765	Princess Mirror-Belle And The Dragon Pox	5	Could this really be happening?	9
12010	We're Going on a Bear Hunt	3	Up the stairs.	116
10075	Elmer and Rose	14	Then, seeing Elmer and Wilbur, he said, “She must be hiding from you two.”	12
11205	Bottoms Up!	17	So why must you wrap us in paper and plastic, and tickle our tummies with knicker elastic?	33
3105	Whatever Next!	10	“Why, you look as if you’ve been up the chimney.”	34
1253	Santa is Coming to Devon	3	Zac, Zara, Zybil.	85
12758	Captain Duck	2	Sheep cries.	74
